level_2_key,title,left_bar_title,primary,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status,table_of_contents_number
qualifications,Qualifications,Qualifications,true,31,site/docs/qualifications/,"What actually makes somebody worth electing, written down and published before anyone is assessed. Eighteen named qualification areas — from anti-corruption and constitutional competence to economics, national security and loyalty to the USA — each with a rubric running level 1 to level 10, each carrying a declared percentage weight, and all of it readable by the public in advance so a challenger is measured against a standard rather than against a party label.","The eighteen qualification areas (anti-corruption, citizens rights, constitutional governing competence, domestic policy, economics, foreign policy, governance and constitutional law, great life experience, intellectual rigor, loyalty to the USA, management, national security, not controlled and not influenced, policy wonk, public speaking, representation and leadership, US government controlled, and We The Citizens); how a rubric is written level 1 to 10; why a rung measures the altitude of an answer and never a keyword the person had to utter; why a market Democrat, an industrial-policy Republican and a deregulatory libertarian can all earn a 9; long-form video as the evidence base and why a two-hour interview counts more than a clip; the published area weights and a citizen's right to override them with their own; reading the rubrics yourself.",The blend that turns per-area assessments into one published number — that is meritocracy. The award the result is published as — that is flamingo.,How do you judge a candidate without just judging them by their party?,marketing/messaging/non_partisan_io_messaging.md,4.0 Meritocracy: finding the best candidates,~/BGit/act3/data_we_citizens/qualifications/; ~/BGit/act3/we_citizens/ai/smart_contracts/; ~/BGit/act3/we_citizens/pm/ai_qualifications.mdx,overview.mdx; the_qualification_areas.mdx; how_a_rubric_works.mdx; read_the_rubrics.mdx,created,4.0
meritocracy,Meritocracy,Meritocracy,false,32,site/docs/meritocracy/,"Influence here is earned in public and capped on purpose. Citizens climb a trust ladder by doing checkable work, and the most that work can ever be worth is roughly twice an ordinary citizen's weight — because unbounded merit turns into an oligarchy within a few years. Merit buys attention, never authority. Money and admin favour buy nothing. Staying anonymous never caps the climb.","The trust ladder (New, Identified, Contributing, Established, Steward); the merit score and what feeds it — a published corpus anyone can re-derive, verified actions, corroboration, tenure, and accuracy over time; the bounded 2x weight and why an unbounded one ends in oligarchy; merit buying attention and never authority; money and admin favour buying zero; and anonymity never capping the ladder.",The action catalog that earns the credit — that is take_action. Whether an account is a believable human — that is trust_scores.,"Who gets to decide here, and what stops it becoming a clique?",marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/Calc_engine_New_politicians_Qualified.mdx (6.2a); ~/BGit/act3/we_citizens/pm/citizens.mdx; ~/BGit/act3/we_citizens/code/packages/backend/src/modules/qualified/qualified.math.ts,overview.mdx; the_trust_ladder.mdx; how_merit_is_earned.mdx; the_rules_that_keep_it_honest.mdx,created,
trust_scores,Trust Scores,Trust Scores,true,33,site/docs/trust_scores/,"A trust score answers exactly one question — is this a real, believable citizen — and never what that citizen believes. Stitched together, verified citizens form a mesh that can vote, and that mesh is the defense against bots, intelligence services and paid influence operations. Trust is built and voted at the party level on the .com doors; this non-partisan site carries the read-only roll-up.","What a trust score is and what it deliberately is not; why it is built and voted on at the party level on the .com doors; the read-only roll-up on this non-partisan site and why it is read-only here; how the mesh puts real weight behind the citizen base; the published policy file that holds every weight and cap so the arithmetic is inspectable; and what the mesh defends against — bots, intelligence services, and intel-service-paid influencers and propagandists.",Voting on a trust score — that only happens on a party door. Citizen merit and citizen points — those are meritocracy and karma.,How do you know I am a real person and not a bot farm?,marketing/messaging/non_partisan_io_messaging.md,13.0 Trust scores,~/BGit/act3/data_we_citizens/trust/groups/; ~/BGit/act3/data_we_citizens/editions/; marketing/messaging/non_partisan_io_messaging.md (TOP GOALS - trust scores),overview.mdx; built_and_voted_on_the_party_doors.mdx; the_read_only_rollup.mdx; the_mesh_and_what_it_defends_against.mdx,created,13.0
decisions,Decisions,Decisions,true,34,site/docs/decisions/,"Pillar 1 of the product. You record where you actually stand on a question, the platform runs the comparison against the social contract, and a community can pool the result. The answer and the reasoning that produced it are always published together — this product never shows a conclusion without the chain that reached it.","Recording a position and your confidence in it; running the calculation against the social contract; the individual position, the community consensus, and the delta between them; yes-or-no votes and policy positions; the paired YAML and Markdown record so software and people read the same thing; and publishing a decision.",The value systems that drive the judgement — that is values. The evidence chain underneath it — that is evidence.,"How do I record what I actually think, in a form that counts for something?",marketing/messaging/non_partisan_io_messaging.md,19.0 Community-based voting and collaboration (19.2 Voting on where you sit on the spectrum),~/BGit/act3/we_citizens/pm/decisions.mdx; ~/BGit/act3/we_citizens/pm/positions.mdx; ~/BGit/act3/we_citizens/pm/calc_engine.mdx,overview.mdx; record_a_position.mdx; run_the_comparison.mdx; community_consensus.mdx,created,19.2
values,Values,Values,false,35,site/docs/values/,"Pillar 3: write your own this-versus-that rules down in a form software can apply consistently on your behalf, across more material than any person could read. Publish it as a policy packet another citizen can import, or import somebody else's — that is how an ethical framework becomes shared political infrastructure instead of a private opinion.",Writing down your rules for deciding this versus that; the structured when / prefer / unless / weight / rationale format; downloading a policy packet you agree with or publishing your own; how the AI applies a value system to a real issue; and the honest limits of doing any of this.,Verification of factual chains — that is evidence.,How can software possibly represent what I believe?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/values.mdx; ~/BGit/act3/we_citizens/pm/metaphysics.mdx; ~/BGit/act3/we_citizens/CLAUDE.md (Pillar 3),overview.mdx; write_down_your_values.mdx; policy_packets.mdx; where_this_stops.mdx,created,
evidence,Evidence,Evidence,false,36,site/docs/evidence/,"Pillar 4, and the movement's most distinctive claim: how to reach a conclusion you can defend when a few links have been withheld on purpose. Lay out every link you do have, name each missing one and why it is missing, set your own threshold for acting, and answer the trap that says because the proof was classified you are not allowed to speak.","Chain-of-evidence records; explicit gap tracking with a fixed vocabulary — classified, suppressed, blocked, unknown; setting your own confidence threshold for acting; the AI checking a chain from first principles rather than from authority; and grading a source.",Any claim about a living person without a source — never published; see open_data for the sourcing rule.,What if the proof is being withheld on purpose?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/evidence.mdx; ~/BGit/act3/we_citizens/pm/facts.mdx; ~/BGit/act3/data_we_citizens/schema/transcript_evidence_grades.yaml,overview.mdx; chain_of_evidence.mdx; naming_the_gaps.mdx; your_confidence_threshold.mdx,created,
communities,Communities,Communities,true,37,site/docs/communities/,"Where the work happens together. A community is a named, shareable workspace with topic areas inside it and decisions inside those; citizens join it, steward it, and pool their individual positions into a community position — and the app always shows a person the delta between where they stand and where the community landed, rather than quietly averaging them away.","What a community is and how it is scoped; the Community to Area to Decision hierarchy; the access model — own, write, read, and world-readable when an owner opens it; joining, leaving and stewarding; how individual decisions aggregate into a community position; and trusted citizens.",The merit weighting applied inside that aggregation — that is meritocracy.,Do I have to do this alone?,marketing/messaging/non_partisan_io_messaging.md,19.0 Community-based voting and collaboration (19.1 The community builds the package),~/BGit/act3/we_citizens/pm/communities.mdx; ~/BGit/act3/we_citizens/pm/area.mdx; ~/BGit/act3/data_we_citizens/communities/,overview.mdx; what_is_a_community.mdx; areas.mdx; join_or_start_one.mdx,created,19.1
take_action,Take Action,Take Action,true,38,site/docs/take_action/,"The catalog of things a citizen can actually do this week — call a representative, add a video to a politician's record, vet a challenger, recruit one, draft a fix bill — each worth points and each logged with a link so somebody else can check it. The movement's scarce resource is action, not opinion, and the gap between reading and doing is where movements die.","The action catalog across its four tracks (challengers, communications, organizing, lawmaking); the guided walkthrough that ends in an I-did-it button; what each action is worth, from five points for adding a video up to the historic, peer-verified actions at the top; how an action is logged with a URL and a description as evidence; why the highest-value actions can only be logged by a peer, so nobody scores themselves into the history book; and the monthly caps and other anti-gaming rules.",What the points become once they are verified — that is karma.,What can I do today that is not just posting online?,marketing/messaging/non_partisan_io_messaging.md,16.0 Take Action,~/BGit/act3/we_citizens/pm/activism.mdx; ~/BGit/act3/we_citizens/pm/activism_cards.mdx; ~/BGit/act3/data_we_citizens/scores/action_types.yaml; ~/BGit/act3/data_we_citizens/activism/,overview.mdx; the_action_catalog.mdx; call_your_representative.mdx; log_what_you_did.mdx,created,16.0
karma,Karma,Karma,true,39,site/docs/karma/,"The citizen side of the ledger, and the one place the word score is used on purpose. Raw points are noise, so they normalize into a monthly karma score and accumulate into a lifetime total; an action shows as recorded immediately and scored only after verification. The History Book of Citizens Fixing Democracy is hash-chained, so a name that earned its way in cannot be quietly written back out.","Why karma is deliberately called a score when a politician award never is; raw points to normalized monthly karma, and why the month is the unit; the karma dashboard, the weekly bars and the lifetime number; the verification lifecycle and how a citizen disputes a ruling; the leaderboard, which shows a pseudonym unless the citizen chose to publish a real name; and the Leader History Book, hash-chained so it cannot be rewritten later.","The menu of things that earn it — that is take_action. Awards given to politicians — those are monkey, llama and flamingo, and they are not scores.",What do I get out of doing the work?,marketing/messaging/non_partisan_io_messaging.md,17.0 Karma,~/BGit/act3/we_citizens/pm/scores.mdx; ~/BGit/act3/we_citizens/pm/leaderboard.mdx; ~/BGit/act3/we_citizens/pm/citizen_score_ledger.mdx; ~/BGit/act3/data_we_citizens/scores/scoring_policy.yaml,overview.mdx; points_to_monthly_karma.mdx; verification_and_disputes.mdx; the_leader_history_book.mdx,created,17.0
open_data,Open Data,Open Data,true,40,site/docs/open_data/,"The movement's public record is a git repository, not a database you are asked to trust. Clone it, follow any claim down to its source_url on the official record, and send back a correction if it is wrong. Where the record is thin, the gap is published rather than hidden — a named gap beats a quiet one, everywhere in this project.","The data repo and how it is laid out; the sourcing rule — no claim about a living person without a source_url to the official record, and an unsourced row is dropped and the drop reported; provenance trails for every download; how a citizen proposes a correction, and why a decline has to state a reason the author can read; coverage and the gaps we publish rather than hide; and what the movement deliberately does not collect.",The analysis built on top of the data — those are the topic areas above.,"Where does all this come from, and can I check it myself?",marketing/messaging/non_partisan_io_messaging.md,14.0 Open Source / Open Data / Open AI (14.2 Open Data),~/BGit/act3/data_we_citizens/; ~/BGit/act3/we_citizens/pm/data_repo.mdx; ~/BGit/act3/we_citizens/pm/proposals.mdx; ~/BGit/act3/we_citizens/pm/coverage.mdx,overview.mdx; clone_the_record.mdx; the_sourcing_rule.mdx; propose_a_correction.mdx,created,14.2
ai,AI,AI,true,41,site/docs/ai/,"What the AI is allowed to do here, what it is never allowed to decide, and the hard rules the build itself enforces. The AI reads, rates, and checks whether a chain of reasoning holds from first principles. Every number that reaches a page is computed in ordinary arithmetic, and a human signs off before anything is published about a named person.","AI as a verifier of reasoning rather than an oracle; checking a chain from first principles instead of from authority; assessing transcripts against a rubric that was published first; the advisory-only pass that never awards anything on its own; what a human must always sign off; and the hard rules, including the one saying this codebase never downloads media, enforced by a test that fails the build.",Value systems themselves — that is values. The rubrics the AI reads against — that is qualifications.,Is an AI deciding my politics?,marketing/messaging/non_partisan_io_messaging.md,14.0 Open Source / Open Data / Open AI (14.3 Open AI),~/BGit/act3/we_citizens/CLAUDE.md (hard rules); ~/BGit/act3/we_citizens/pm/calc_engines.mdx; ~/BGit/act3/we_citizens/pm/ai_qualifications.mdx; ~/BGit/act3/we_citizens/ai/smart_contracts/,overview.mdx; what_the_ai_does.mdx; what_the_ai_never_decides.mdx; our_hard_rules.mdx,created,14.3
repos,Repos,Repos,true,42,site/docs/repos/,"Every repository the movement runs, what is inside each one, and how to stand the whole thing up on your own machine. The code is open so that nobody has to take the movement's word for anything — including the movement itself, which is the thing that stops us from ever becoming the censor.","The repo map — the app (backend, frontend, shared, the wtcx CLI, the MCP server), the open data record, this website, and the paired social network; the licenses; how to contribute code, data, or a correction; running your own instance; and what stops the movement from becoming a gatekeeper.",Using the hosted product without building anything — that is get_started.,"Can I see the code, and can I fork you?",marketing/messaging/non_partisan_io_messaging.md,14.0 Open Source / Open Data / Open AI (14.1 Open Source - Source Code),https://github.com/ACT3ai/we_the_citizens; https://github.com/ACT3ai/data_we_citizens; ~/BGit/act3/we_citizens/code/packages/; ~/BGit/act3/data_we_citizens/CONTRIBUTING.md; https://m.wecitizens.social,overview.mdx; the_repo_map.mdx; contribute.mdx; run_your_own_instance.mdx,created,14.1
features,Product Features,Features,false,43,site/docs/features/,"The catalogue of what the software actually does. Every capability of We The Citizens gets one page: what it does in plain mechanism, the political goal it exists to serve, and the places on this site that argue for that goal. The rest of the site makes the case; this area shows the machinery that carries it out.","One page per user-facing product capability, grouped by what it is for — measuring the record, publishing the awards, participating as a citizen, keeping the whole thing checkable, and running it yourself. Each page states the mechanism factually, names the political goal it serves, links to the areas of this site that make that argument, and links to the neighbouring features it works with.","The political argument itself — that lives in the Level 2 areas each feature page links out to. Named living people and their records — those are the politician areas. Source code, install steps and repository layout — those are Get Started and Repos.",What does the software actually do?,~/BGit/act3/we_the_citizens/KNOWLEDGE_we_citizens.md; ~/BGit/act3/we_the_citizens/pm/ (149 specifications),,~/BGit/act3/we_the_citizens/KNOWLEDGE_we_citizens.md (all 52 sections); ~/BGit/act3/we_the_citizens/pm/*.mdx,overview.mdx; monkey_award.mdx; llama_award.mdx; flamingo_award.mdx; the_wall.mdx; awards_not_scores.mdx; show_the_arithmetic.mdx; coverage_and_named_gaps.mdx; state_legislature_coverage.mdx; work_you_can_watch.mdx; the_voting_record.mdx; the_blocked_fix_record.mdx; the_law_page.mdx; official_record_sourcing.mdx; problem_record.mdx; fix_bills.mdx; politician_record_pages.mdx; the_rosters.mdx; your_seats.mdx; qualification_catalog.mdx; videos_and_transcripts.mdx; reading_their_own_words.mdx; contender_slate.mdx; worrisome_challengers.mdx; decisions_and_communities.mdx; first_principles_ai_check.mdx; value_systems_and_policy_packets.mdx; citizen_votes.mdx; the_movement_plan.mdx; proposals_and_review.mdx; activism_catalog.mdx; karma_and_leaderboard.mdx; search_the_record.mdx; ai_assistant.mdx; open_to_read_gated_to_act.mdx; your_settings_and_data.mdx; trust_ladder.mdx; trust_wizard.mdx; groups_and_values_blocks.mdx; citizen_profiles_and_anonymity.mdx; verification_layers.mdx; run_on_your_own_computer.mdx; public_data_repository.mdx; citizen_mining_network.mdx; nothing_fails_quietly.mdx; paid_supporter.mdx; four_party_front_doors.mdx; publishing_to_the_social_network.mdx,created,
four_doors,"One App, Four Doors",The Four Doors,true,44,site/docs/four_doors/,"How this non-partisan site relates to WeCitizensR.com, WeCitizensD.com, WeCitizensL.com and WeCitizensSocialism.com. One app, one data record, one award pipeline, five front doors. Each door speaks to its own audience in its own voice, none is written to mirror another, and every door names the other three rather than pretending they are not there.","One app and one data record behind every door; what each door is for and who it is for; what lives ONLY on a party door (partisan plans and laws, the board of directors, the yearly strategic conference, the political-spectrum vote, trust-score voting, and religious framing where a door carries one); sending a visitor onward to the door that fits them; and why no door is written to match another.","The messaging of any single party door — that is written on that door, from that door's own messaging file, and owes nothing to the other three.",There are five sites. Which one am I supposed to use?,marketing/messaging/non_partisan_io_messaging.md,"15.0 How this door relates to the other three, and to the .io",~/BGit/act3/data_we_citizens/editions/R.yaml; ~/BGit/act3/data_we_citizens/editions/D.yaml; ~/BGit/act3/data_we_citizens/editions/L.yaml; ~/BGit/act3/data_we_citizens/editions/S.yaml; marketing/messaging/all_messaging.md,overview.mdx; one_app_four_doors.mdx; find_your_door.mdx; what_only_lives_on_a_party_door.mdx,created,15.0
r,We The Citizens R,We The Citizens R,false,45,site/docs/r/,"The Republican front door at WeCitizensR.com. It makes one small ask instead of one large one: here are the seats you actually vote on, here is what the incumbent in each of them voted for, and here is who could replace them — including the strongest challenger from any other party, at the same photo size and with the same award arithmetic.","What the WeCitizensR.com edition is and why it exists; the three-column seat block (the incumbent in office, the best Republican challenger, and always the strongest challenger for that seat from any other party); how the edition finds the seats you actually vote on; what this door stands for, drawn from marketing/messaging/republicans.md, which is primary for it; and the funnel into app.WeTheCitizens.io.","Award arithmetic (monkey, llama, flamingo), which is computed once and party-blind; the reasoning engine, values and evidence chains, which live only in the main app; fundraising, donations and campaign coordination, which no door carries; and anything that characterizes a party rather than a person and a vote. Nothing here is written to match another edition — there is no mirror rule.",I am a Republican — is this site for me?,marketing/messaging/republicans.md,,~/BGit/act3/we_citizens/pm/party_front_doors.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx,planned,
d,We The Citizens D,We The Citizens D,false,46,site/docs/d/,"The Democrat front door at WeCitizensD.com. It makes one small ask instead of one large one: here are the seats you actually vote on, here is what the incumbent in each of them voted for, and here is who could replace them — including the strongest challenger from any other party, at the same photo size and with the same award arithmetic.","What the WeCitizensD.com edition is and why it exists; the three-column seat block (the incumbent in office, the best Democrat challenger, and always the strongest challenger for that seat from any other party); how the edition finds the seats you actually vote on; what this door stands for, drawn from marketing/messaging/democrats.md, which is primary for it; and the funnel into app.WeTheCitizens.io.","Award arithmetic (monkey, llama, flamingo), which is computed once and party-blind; the reasoning engine, values and evidence chains, which live only in the main app; fundraising, donations and campaign coordination, which no door carries; and anything that characterizes a party rather than a person and a vote. Nothing here is written to match another edition — there is no mirror rule.",I am a Democrat — is this site for me?,marketing/messaging/democrats.md,,~/BGit/act3/we_citizens/pm/party_front_doors.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx,planned,
l,We The Citizens L,We The Citizens L,false,47,site/docs/l/,"The Libertarian front door at WeCitizensL.com. It makes one small ask instead of one large one: here are the seats you actually vote on, here is what the incumbent in each of them voted for, and here is who could replace them — including the strongest challenger from any other party, at the same photo size and with the same award arithmetic.","What the WeCitizensL.com edition is and why it exists; the three-column seat block (the incumbent in office, the best Libertarian challenger, and always the strongest challenger for that seat from any other party); how the edition finds the seats you actually vote on; what this door stands for, drawn from marketing/messaging/libertarians.md, which is primary for it; and the funnel into app.WeTheCitizens.io.","Award arithmetic (monkey, llama, flamingo), which is computed once and party-blind; the reasoning engine, values and evidence chains, which live only in the main app; fundraising, donations and campaign coordination, which no door carries; and anything that characterizes a party rather than a person and a vote. Nothing here is written to match another edition — there is no mirror rule.",I am a Libertarian — is this site for me?,marketing/messaging/libertarians.md,,~/BGit/act3/we_citizens/pm/party_front_doors.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx,planned,
s,We The Citizens S,We The Citizens S,false,48,site/docs/s/,"The Democratic Socialist front door at WeCitizensSocialism.com. It makes one small ask instead of one large one: here are the seats you actually vote on, here is what the incumbent in each of them voted for, and here is who could replace them — including the strongest challenger from any other party, at the same photo size and with the same award arithmetic.","What the WeCitizensSocialism.com edition is and why it exists; the three-column seat block (the incumbent in office, the best Democratic Socialist challenger, and always the strongest challenger for that seat from any other party); how the edition finds the seats you actually vote on; what this door stands for, drawn from marketing/messaging/socialism.md, which is primary for it; and the funnel into app.WeTheCitizens.io.","Award arithmetic (monkey, llama, flamingo), which is computed once and party-blind; the reasoning engine, values and evidence chains, which live only in the main app; fundraising, donations and campaign coordination, which no door carries; and anything that characterizes a party rather than a person and a vote. Nothing here is written to match another edition — there is no mirror rule.",I am a Democratic Socialist — is this site for me?,marketing/messaging/socialism.md,,~/BGit/act3/we_citizens/pm/party_front_doors.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx,planned,
